 * Running on http://0.0.0.0:8080/ (Press CTRL+C to quit)
140.233.178.154 - - [19/Apr/2015 22:17:41] "GET /image/38db1672-fd9b-4bd5-b883-58f890398403.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:41] "GET /image/88d85182-e0fd-487a-8178-ae3d027a05ea.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:41] "GET /image/5a33a865-985e-40ab-9f0a-55661c38b7c6.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:41] "GET /image/1eabb60e-1721-4b85-a380-5406150dcd68.png HTTP/1.1" 200 -
 * Running on http://0.0.0.0:8080/ (Press CTRL+C to quit)
140.233.178.154 - - [19/Apr/2015 22:19:02] "GET /smart_pretty HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:19:02] "GET /image/360a076e-43b4-4dd2-b2c1-47b03ecea759.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:19:02] "GET /static/css/bootstrap.css HTTP/1.1" 304 -
140.233.178.154 - - [19/Apr/2015 22:19:02] "GET /static/css/bootstrap-theme.css HTTP/1.1" 304 -
140.233.178.154 - - [19/Apr/2015 22:19:02] "GET /static/js/hammer.min.js HTTP/1.1" 304 -
140.233.178.154 - - [19/Apr/2015 22:19:02] "GET /static/css/main.css HTTP/1.1" 304 -
140.233.178.154 - - [19/Apr/2015 22:19:02] "GET /static/js/main.js HTTP/1.1" 304 -
140.233.178.154 - - [19/Apr/2015 22:19:02] "GET /image/a9a3993c-bf3a-4e65-8b86-ad0d00303e51.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:19:02] "GET /image/1cd72790-b4a2-4e2b-a80e-74ce1a194e6e.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:19:02] "GET /image/28eaee3f-7578-4e74-9261-0ffc3c9969dc.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:19:02] "GET /image/fc53232f-f28e-406b-aafd-e1f62d2f3638.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:19:02] "GET /image/72d5cdb3-a825-4305-9f45-8e5e41c48b2c.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:19:02] "GET /image/6987dfde-1721-4cc6-ab52-19250a8fd508.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:19:02] "GET /image HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:19:02] "GET /image/bc48d9c7-cb66-4af1-8c06-9ee7e2cb77e2.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:19:02] "GET /image/868fa7c4-26d0-4167-8a5a-c478444e16e6.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:19:02] "GET /image/51b31b79-b9ad-4cad-aab2-eac4fdad63e5.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:19:02] "GET /image/44275f1f-ca12-4699-9d30-25e65bd7cdc8.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:19:02] "GET /image/e787087d-fb01-4d68-851d-9ee9e34032fc.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:19:02] "GET /image/98f41c8b-df50-404a-82b4-d95f0600b276.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:19:02] "GET /image/729b5c25-9909-4e86-9253-5d22cbf7a175.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:19:02] "GET /image/66215e27-0508-4026-9e19-068221b85d80.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:19:02] "GET /image/c83522c7-cded-480b-9660-3c4007c73107.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:19:02] "GET /image/754a8e89-a8e0-40dc-9d7b-c64fcfb48464.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:19:02] "GET /image/f2d09db0-346c-48db-bede-ba81c49b7ee8.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:19:02] "GET /image/bf51bf67-916e-4993-a2d9-4335615a4d35.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:19:02] "GET /image/c787d6a7-d91e-4f4e-9085-3d7bf90c43e7.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:19:02] "GET /image/f1cf3c0c-0673-44a4-a4c4-60cbb39f7e45.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:19:02] "GET /image/91a366c2-95b1-47e1-8391-8e82e5d4c23c.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:19:02] "GET /image/17570cdf-3860-46ee-ab0e-b91b402106e7.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:19:02] "GET /image/0f956db7-b162-410f-9494-49985c772a62.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:19:02] "GET /image/46da38b1-7c09-45d0-abab-bb05fe09e91f.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:19:02] "GET /image/f8faa05a-f225-4e40-b5c9-5665a16dd603.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:19:02] "GET /image/86e7a86f-c5d1-4f33-a2a0-b5302181647f.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:19:02] "GET /image/f2f14f11-5120-443f-a9f3-876109d4fa05.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:19:02] "GET /image/a6d0b87c-0776-4094-9891-105c5c956631.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:19:02] "GET /image/c68a3418-eabb-4414-9b3a-0f2460a59dc5.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:19:02] "GET /image/f4381df7-acaf-41a9-8fbd-c5e618d3950b.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:19:02] "GET /image/1fd80d61-8604-460d-a068-054e71da189c.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:19:02] "GET /image/2440fd39-b234-4190-97c8-21bb8e852d5a.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:19:02] "GET /image/b2c31529-edc6-4edc-ab3a-9cc8827018e7.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:19:02] "GET /image/3eb198b8-7f47-41c8-8462-69d78c2f20a8.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:19:02] "GET /image/ab3d1467-12a9-4e39-8395-6403f6673cfc.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:19:02] "GET /image/044bdaca-5e6f-419f-997e-eccc72dfb94c.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:19:02] "GET /image/bb88f703-2523-4913-99f3-68b38070a40d.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:19:02] "GET /image/3174db07-0302-449d-804a-d4dd506cc7cf.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:19:02] "GET /image/b6c06fec-17e9-49f1-b17a-b1563ed37f8f.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:19:02] "GET /image/b8b311c0-b3a9-41cf-82fa-cdc3d9a89de1.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:19:02] "GET /image/7baf8ab9-d356-4256-8ab6-c34b725273b0.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:19:02] "GET /image/2d260833-1f3a-4193-9e51-3f1300e8835d.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:19:02] "GET /image/14278554-2552-4ed4-98a9-496f58fa9d68.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:19:02] "GET /image/0af2939b-9422-48d8-a513-8b2504bd2596.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:19:02] "GET /image/a7b925ea-9bf1-40cc-836d-d22183c61447.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:19:02] "GET /image/683c9451-bd12-41f2-873d-1f8dc1daad5d.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:19:02] "GET /image/0ee3d823-1f7c-46ac-bedf-e34299baf6c5.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:19:02] "GET /image/c95a539d-ac3b-4c71-88a6-3a82a4ba2ada.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:19:02] "GET /image/54b834f7-bd5b-4e16-9098-7d6b4fb5ab13.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:19:02] "GET /image/20cd42fd-a744-48ea-ab40-a1e415151152.png HTTP/1.1" 200 -
